NCESSCH;LEAID;LEANM05;SCHNAM05;LCITY05;LSTATE05;LATCOD;LONCOD;MLOCALE;ULOCALE;status05
120039000599;1200390;DADE COUNTY SCHOOL DISTRICT;MIAMI CORAL PARK SENIOR HIGH;MIAMI;FL;25.7548;-80.34044;3;21;1
120039000600;1200390;DADE COUNTY SCHOOL DISTRICT;MIAMI EDISON SENIOR HIGH SCHOOL;MIAMI;FL;25.83148;-80.20519;1;11;1
120039000601;1200390;DADE COUNTY SCHOOL DISTRICT;MIAMI JACKSON SENIOR HIGH SCHOOL;MIAMI;FL;25.80942;-80.2249;1;11;1
120039000602;1200390;DADE COUNTY SCHOOL DISTRICT;MIAMI KILLIAN SENIOR HIGH SCHOOL;MIAMI;FL;25.66995;-80.3486;2;13;1
120039000603;1200390;DADE COUNTY SCHOOL DISTRICT;MIAMI NORLAND SENIOR HIGH SCHOOL;MIAMI;FL;25.95228;-80.2201;3;21;1
120039000604;1200390;DADE COUNTY SCHOOL DISTRICT;MIAMI NORTHWESTERN SENIOR HIGH;MIAMI;FL;25.83918;-80.21501;1;11;1
120039000605;1200390;DADE COUNTY SCHOOL DISTRICT;MIAMI PALMETTO SENIOR HIGH SCHOOL;MIAMI;FL;25.66057;-80.31521;3;21;1
120039000606;1200390;DADE COUNTY SCHOOL DISTRICT;MIAMI SENIOR HIGH SCHOOL;MIAMI;FL;25.77134;-80.23599;1;11;1
120039000607;1200390;DADE COUNTY SCHOOL DISTRICT;MIAMI SPRINGS SENIOR HIGH SCHOOL;MIAMI SPRINGS;FL;25.82996;-80.29386;3;21;1
120039000608;1200390;DADE COUNTY SCHOOL DISTRICT;MIAMI SUNSET SENIOR HIGH SCHOOL;MIAMI;FL;25.69977;-80.4059;3;21;1
120039000609;1200390;DADE COUNTY SCHOOL DISTRICT;NORTH MIAMI BEACH SENIOR HIGH;NORTH MIAMI BEACH;FL;25.92891;-80.17548;3;21;1
120039000610;1200390;DADE COUNTY SCHOOL DISTRICT;NORTH MIAMI SENIOR HIGH SCHOOL;NORTH MIAMI;FL;25.90088;-80.18312;3;21;1
120039000611;1200390;DADE COUNTY SCHOOL DISTRICT;MIAMI DOUGLAS MACARTHUR SOUTH SENIOR HIGH;MIAMI;FL;25.69017;-80.37111;2;13;1
120039000612;1200390;DADE COUNTY SCHOOL DISTRICT;SOUTH DADE SENIOR HIGH SCHOOL;HOMESTEAD;FL;25.50295;-80.46146;3;21;1
120039000613;1200390;DADE COUNTY SCHOOL DISTRICT;SOUTH MIAMI SENIOR HIGH SCHOOL;MIAMI;FL;25.72089;-80.30562;3;21;1
120039000614;1200390;DADE COUNTY SCHOOL DISTRICT;MIAMI SOUTHRIDGE SENIOR HIGH;MIAMI;FL;25.58563;-80.37472;3;21;1
120039000615;1200390;DADE COUNTY SCHOOL DISTRICT;SOUTHWEST MIAMI SENIOR HIGH;MIAMI;FL;25.72192;-80.33841;3;21;1
120039000616;1200390;DADE COUNTY SCHOOL DISTRICT;JAN MANN OPPORTUNITY SCHOOL ALT;OPA-LOCKA;FL;25.91979;-80.27298;3;21;1
120039000617;1200390;DADE COUNTY SCHOOL DISTRICT;COPE CENTER NORTH ALTERNATIVE ED;MIAMI;FL;25.86741;-80.23026;3;21;1
120039000618;1200390;DADE COUNTY SCHOOL DISTRICT;D. M. WALLACE C.O.P.E. CTR ALT;MIAMI;FL;25.63307;-80.35834;3;21;1
120039001388;1200390;DADE COUNTY SCHOOL DISTRICT;PHYLLIS R. MILLER ELEMENTARY SCHOOL;MIAMI;FL;25.85498;-80.18046;1;11;1
120039001441;1200390;DADE COUNTY SCHOOL DISTRICT;IRVING & BEATRICE PESKOE ELEMENTARY SCHOOL;HOMESTEAD;FL;25.49724;-80.42462;3;21;1
120039001443;1200390;DADE COUNTY SCHOOL DISTRICT;SCHOOL FOR ADVANCED STUDIES - SOUTH;MIAMI;FL;25.67227;-80.37412;2;13;1
120039001478;1200390;DADE COUNTY SCHOOL DISTRICT;WILLIAM H. TURNER TECHNICAL ARTS HIGH SCHOOL;MIAMI;FL;25.86462;-80.22802;3;21;1
120039001518;1200390;DADE COUNTY SCHOOL DISTRICT;CORPORATE ACADEMY SOUTH;HOMESTEAD;FL;25.44926;-80.45658;3;21;1
120039002054;1200390;DADE COUNTY SCHOOL DISTRICT;DEVON AIRE ELEMENTARY SCHOOL;MIAMI;FL;25.66931;-80.39188;3;21;1
120039002057;1200390;DADE COUNTY SCHOOL DISTRICT;J.R.E. LEE OPPORTUNITY SCHOOL ALTERNATIVE EDUCATIO;SOUTH MIAMI;FL;25.71012;-80.29364;3;21;1
120039002114;1200390;DADE COUNTY SCHOOL DISTRICT;HIALEAH GARDENS ELEMENTARY SCHOOL;HIALEAH GARDENS;FL;25.89137;-80.35608;3;21;1
120039002115;1200390;DADE COUNTY SCHOOL DISTRICT;JACK DAVID GORDON COMMUNITY SCHOOL;MIAMI;FL;25.62998;-80.42904;3;21;1
120039002127;1200390;DADE COUNTY SCHOOL DISTRICT;MIGRANT EDUCATIONAL PROGRAM;HOMESTEAD;FL;25.5065;-80.3925;8;41;1
120039002129;1200390;DADE COUNTY SCHOOL DISTRICT;CITRUS GROVE MIDDLE;MIAMI;FL;25.77648;-80.23016;1;11;6
120039002132;1200390;DADE COUNTY SCHOOL DISTRICT;ALTERNATIVE OUTREACH PROGRAM;MIAMI;FL;25.8216;-80.2368;3;21;1
120039002135;1200390;DADE COUNTY SCHOOL DISTRICT;MERRICK EDUCATIONAL CENTER;CORAL GABLES;FL;25.75663;-80.25566;3;21;1
120039002137;1200390;DADE COUNTY SCHOOL DISTRICT;INSTRUCTIONAL CENTER SYSTEMWIDE;MIAMI;FL;25.69748;-80.37147;2;13;1
120039002138;1200390;DADE COUNTY SCHOOL DISTRICT;LINDSEY HOPKINS TECHNICAL ED CENTER;MIAMI;FL;25.79484;-80.20799;1;11;1
120039002139;1200390;DADE COUNTY SCHOOL DISTRICT;MIAMI SENIOR ADULT EDUCATION CENTER;MIAMI;FL;25.77134;-80.23599;1;11;1
120039002141;1200390;DADE COUNTY SCHOOL DISTRICT;D.A. DORSEY EDUCATIONAL CENTER;MIAMI;FL;25.83986;-80.22727;3;21;1
120039002145;1200390;DADE COUNTY SCHOOL DISTRICT;MIAMI SPRINGS SENIOR HIGH ADULT;MIAMI SPRINGS;FL;25.82996;-80.29386;3;21;1
120039002146;1200390;DADE COUNTY SCHOOL DISTRICT;NORTH MIAMI SENIOR ADULT EDUCATION;NORTH MIAMI;FL;25.90088;-80.18312;3;21;1
120039002147;1200390;DADE COUNTY SCHOOL DISTRICT;OLIVER HOOVER ELEMENTARY SCHOOL;MIAMI;FL;25.6813;-80.43499;3;21;1
120039002148;1200390;DADE COUNTY SCHOOL DISTRICT;ROBERT MORGAN VOC-TECH INSTITUTE;MIAMI;FL;25.59903;-80.38904;3;21;1
120039002149;1200390;DADE COUNTY SCHOOL DISTRICT;SOUTH DADE ADULT EDUCATION CENTER;HOMESTEAD;FL;25.47729;-80.47551;3;21;1
120039002291;1200390;DADE COUNTY SCHOOL DISTRICT;BENT TREE ELEMENTARY SCHOOL;MIAMI;FL;25.71831;-80.41848;3;21;1
120039002292;1200390;DADE COUNTY SCHOOL DISTRICT;CALUSA ELEMENTARY SCHOOL;MIAMI;FL;25.6786;-80.41103;3;21;1
120039002295;1200390;DADE COUNTY SCHOOL DISTRICT;JAMES W. JOHNSON ELEMENTARY SCHOOL;HIALEAH;FL;25.84266;-80.29697;3;21;1
120039002428;1200390;DADE COUNTY SCHOOL DISTRICT;NEVA KING COOPER EDUCATIONAL CENTER;HOMESTEAD;FL;25.47448;-80.48061;3;21;1
120039002429;1200390;DADE COUNTY SCHOOL DISTRICT;HAMMOCKS MIDDLE SCHOOL;MIAMI;FL;25.67546;-80.44181;3;21;1
120039002468;1200390;DADE COUNTY SCHOOL DISTRICT;SWEETWATER ELEMENTARY SCHOOL;MIAMI;FL;25.76481;-80.36689;3;21;1
120039002498;1200390;DADE COUNTY SCHOOL DISTRICT;CHARLES R HADLEY ELEMENTARY SCHOOL;MIAMI;FL;25.77695;-80.33217;3;21;1
120039002499;1200390;DADE COUNTY SCHOOL DISTRICT;JOE HALL ELEMENTARY SCHOOL;MIAMI;FL;25.74912;-80.41299;3;21;1
120039002500;1200390;DADE COUNTY SCHOOL DISTRICT;BEN SHEPPARD ELEMENTARY SCHOOL;HIALEAH;FL;25.87361;-80.33132;3;21;1
120039002553;1200390;DADE COUNTY SCHOOL DISTRICT;JOSE MARTI MIDDLE SCHOOL;HIALEAH;FL;25.87361;-80.33152;3;21;1
120039002555;1200390;DADE COUNTY SCHOOL DISTRICT;JUVENILE JUSTICE CENTER ALT ED;MIAMI;FL;25.80623;-80.24222;3;21;1
120039002699;1200390;DADE COUNTY SCHOOL DISTRICT;JOELLA GOOD ELEMENTARY SCHOOL;MIAMI;FL;25.94312;-80.30141;3;21;1
120039002704;1200390;DADE COUNTY SCHOOL DISTRICT;TOUSSAINT L'OUVERTURE ELEMENTARY;MIAMI;FL;25.82948;-80.1937;1;11;1
120039002711;1200390;DADE COUNTY SCHOOL DISTRICT;JANE S. ROBERTS K-8 CENTER;MIAMI;FL;25.71565;-80.43243;3;21;1
120039002713;1200390;DADE COUNTY SCHOOL DISTRICT;N DADE CENTER FOR MODERN LANGUAGE;OPA-LOCKA;FL;25.91748;-80.23354;3;21;1
120039002714;1200390;DADE COUNTY SCHOOL DISTRICT;RUBEN DARIO MIDDLE SCHOOL;MIAMI;FL;25.77248;-80.35697;3;21;1
120039002715;1200390;DADE COUNTY SCHOOL DISTRICT;SCHOOL FOR ADVANCED STUDIES NORTH;MIAMI;FL;25.87782;-80.24389;3;21;1
120039002733;1200390;DADE COUNTY SCHOOL DISTRICT;MARJORY STONEMAN DOUGLAS ELEM;MIAMI;FL;25.76627;-80.38821;3;21;1
120039002734;1200390;DADE COUNTY SCHOOL DISTRICT;DR. GILBERT L. PORTER ELEMENTARY SCHOOL;MIAMI;FL;25.66454;-80.45198;3;21;1
120039002735;1200390;DADE COUNTY SCHOOL DISTRICT;G. HOLMES BRADDOCK SENIOR HIGH;MIAMI;FL;25.73369;-80.43124;3;21;1
120039002736;1200390;DADE COUNTY SCHOOL DISTRICT;DESIGN & ARCHITECTURAL SENIOR HIGH;MIAMI;FL;25.81454;-80.19067;1;11;1
120039002738;1200390;DADE COUNTY SCHOOL DISTRICT;CORPORATE ACADEMY NORTH;MIAMI;FL;25.82148;-80.23669;3;21;1
120039002805;1200390;DADE COUNTY SCHOOL DISTRICT;BOWMAN FOSTER ASHE ELEMENTARY;MIAMI;FL;25.70514;-80.44314;3;21;1
120039002806;1200390;DADE COUNTY SCHOOL DISTRICT;CLAUDE PEPPER ELEMENTARY SCHOOL;MIAMI;FL;25.67675;-80.43016;3;21;1
120039002807;1200390;DADE COUNTY SCHOOL DISTRICT;ERNEST R. GRAHAM ELEMENTARY SCHOOL;HIALEAH;FL;25.88842;-80.34834;3;21;1
120039002808;1200390;DADE COUNTY SCHOOL DISTRICT;SOUTH POINTE ELEMENTARY SCHOOL;MIAMI BEACH;FL;25.77319;-80.13883;2;13;1
120039002809;1200390;DADE COUNTY SCHOOL DISTRICT;MARITIME & SCIENCE TECHNOLOGY ACADEMY;MIAMI;FL;25.72275;-80.15014;8;41;1
120039002810;1200390;DADE COUNTY SCHOOL DISTRICT;NEW WORLD SCHOOL OF THE ARTS;MIAMI;FL;25.7746;-80.1901;1;11;1
120039002811;1200390;DADE COUNTY SCHOOL DISTRICT;TEENAGE PARENT PROGRAM;MIAMI;FL;25.8216;-80.2368;3;21;1
120039002812;1200390;DADE COUNTY SCHOOL DISTRICT;ACADEMY FOR COMMUNITY EDUCATION (ACE);CORAL GABLES;FL;25.75663;-80.25566;3;21;1
120039002813;1200390;DADE COUNTY SCHOOL DISTRICT;ROBERT RENICK EDUCATION CENTER;OPA-LOCKA;FL;25.96376;-80.2378;3;21;1
120039002814;1200390;DADE COUNTY SCHOOL DISTRICT;RUTH OWENS KRUSE EDUCATION CENTER;MIAMI;FL;25.69748;-80.37147;2;13;1
120039002986;1200390;DADE COUNTY SCHOOL DISTRICT;MAYA ANGELOU ELEMENTARY SCHOOL;MIAMI;FL;25.80549;-80.2269;1;11;1
120039002987;1200390;DADE COUNTY SCHOOL DISTRICT;WILLIAM H. LEHMAN ELEMENTARY SCHOOL;MIAMI;FL;25.66675;-80.378;2;13;1
120039002988;1200390;DADE COUNTY SCHOOL DISTRICT;BARBARA GOLEMAN SENIOR HIGH;MIAMI;FL;25.90247;-80.34436;3;21;1
120039002989;1200390;DADE COUNTY SCHOOL DISTRICT;SCHOOL FOR APPLIED TECHNOLOGY;MIAMI;FL;25.80839;-80.1907;1;11;1
120039002992;1200390;DADE COUNTY SCHOOL DISTRICT;CDS ASSESSOR;MIAMI;FL;25.78948;-80.1898;1;11;1
120039002993;1200390;DADE COUNTY SCHOOL DISTRICT;CDS ASSESSOR PROGRAM;MIAMI;FL;25.78948;-80.1898;1;11;1
120039003042;1200390;DADE COUNTY SCHOOL DISTRICT;LIBERTY CITY CHARTER SCHOOL;MIAMI;FL;25.85487;-80.20637;3;21;1
